When did this shutdown start?,What is the current status of the internet shutdown? Is it ongoing?,When did the shutdown finish?,Which country did the shutdown occur in?,What is the scope of the shutdown?,Which area(s) city(ies) or region(s) were affected by this shutdown?,What type of shutdown is this?,What services did this shutdown impact?,"Was this a full-network, or service-based, shutdown? ",Who ordered the shutdown?,Who was the decision maker? Please provide any further information you have on who ordered the shutdown.,What was the actual cause of the shutdown?,"Please provide further details on the actual cause of the internet shutdown, if known.",What is your primary source for this shutdown? ,"Please enter the reference links of the source if applicable. If there are more than one, divide them with a "";"" mark.",What was the official justification given for the shutdown?,Please give any further details on the official justification of the internet shutdown.,Has the Government acknowledged the shutdown?,Did the government or relevant authority give any legal justification or refer to a law?,"Did the government or relevant authority use a memo, court order or similar instrument? Please provide a brief summary.","Please include a link to the official statement relating to the shutdown, if available.","Please include a quote from the relevant authorities relating to the justification of the shutdown, if available.",Was Facebook specifically targeted?,Was Twitter specifically targeted?,Was WhatsApp specifically targeted?,Was Instagram specifically targeted?,Was Telegram specifically targeted?,Please list any other web-based services that were specifically targeted during the service-based shutdown. ,Were SMS services specifically targeted during the shutdown?,Were calling services specifically targeted during the shutdown?,Which Telco was involved in the shutting down of the internet or services?,Did the Telco acknowledge the shutdown happened?,"Please provide a source (one URL) if the Telco has acknowledged the shutdown, if possible.","Please provide a quote from the Telco if they have acknowledged the shutdown, if possible.",Did this shutdown involve an election?,Did this shutdown involve physical violence?,Have any human rights abuses been reported that specifically relate to this shutdown?,"Which of the following groups, if any, were impacted by the internet shutdown?",Please provide any further details on the users targeted in the shutdown.,Did users affected by the shutdown receive advance warning?,Please provide a short one- or two-sentence summary of the shutdown and the event that triggered it. Please note: This may be displayed publicly by Access Now.,"Please provide a reference link to an article about the shutdown on Access Now's homepage, if applicable.",Please include any notes about this shutdown you feel are relevant for the KIO team. They will not be shared with external partners. 
2/4/2021,Ongoing,,Myanmar,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Service-based,Military,,Political instability,Military coup,CSO KIO partners,https://ooni.org/post/2021-myanmar-internet-blocks-and-outages/#methods,Unknown,,Unknown,,,,,Yes,Yes,Yes,Yes,No,,No,No,,Yes,https://www.telenor.com/directive-to-block-social-media-services-twitter-and-instagram-in-myanmar/,,No,Yes,Yes,,,No,"The Ministry of Communications of Myanmar issued orders to block Facebook, Instragram and Twitter on Feb 3 for the Facebook, and on Feb 5 for other two.",https://www.accessnow.org/update-internet-access-censorship-myanmar/,
2/5/2021,Ended,2/5/2021,India,"It affected more than one city in the same state, province, or region","South Kashmir (Anantnag, Shopian, Pulwama, Awantipora)",Shutdown,Mobile,Full network,Local government,"Inspector General of the Kashmir Police, later confirmed by the Principal Secretary to the Government of J&K",Religious holiday/anniversary,Kashmir Solidarity Day,Other,http://jkhome.nic.in/pdf/06(TSTS)2021.pdf,Precautionary measure,Precautionary measure due to Kashmir Solidarity day ,Yes,Yes,Yes. The IGP justified the shutdown as a precautionary measure for the maintenance of the public order due to Kashmir Solidarity Day. Order -  06(TSTS) of 2021.,http://jkhome.nic.in/pdf/06(TSTS)2021.pdf,,No,No,No,No,No,,No,No,,,,,No,No,No,,,No,The government order a mobile internet shutdown in the districts of South Kashmir as a precautionary measure during the Kashmir Solidarity day.,,
2/6/2021,Ended,2/7/2021,Myanmar,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Full network,Military,,Protests,,CSO KIO partners,https://ooni.org/post/2021-myanmar-internet-blocks-and-outages/#methods,Fake news/ Hate speech/ Incendiary content/ Promoting violence,"The government also justified it based on political instability, and maintenance of public order: https://www.telenor.com/media/press-release/myanmar-authorities-orders-nationwide-shutdown-of-the-data-network",Unknown,,,,,No,No,No,No,No,,No,No,,Yes,https://www.telenor.com/media/press-release/myanmar-authorities-orders-nationwide-shutdown-of-the-data-network,,No,Yes,Yes,,Protesters ,No,"The Military government issued orders to block mobile and fixed services on Feb 6, during protests against the coup.",,
2/16/2021,Ongoing,4/27/2021,Myanmar,"It affected locations in more than one state, province, or region",National,Shutdown,"Broadband, Mobile",Full network,Military,,Political instability,,CSO KIO partners,https://ooni.org/post/2021-myanmar-internet-blocks-and-outages/#outage-on-6th-february-2021,Unknown,,Unknown,,,,,No,No,No,No,No,,No,No," Telenor Group, Ooredoo, Mytel, Viettel Group, Myanmar National Telecom Holding Public Ltd ",Yes,https://www.telenor.com/sustainability/responsible-business/human-rights/mitigate/human-rights-in-myanmar/directives-from-authorities-in-myanmar-february-2021/,,No,Yes,Yes,,,No,"Mobile and fixed internet were shutdown in a curfew-style from around 1am to 9am, throughout the period of Feb 16 to April 27. On May 17, mobile services (wireless and mobile internet on phones) were shutdown and it is ongoing.",https://www.accessnow.org/update-internet-access-censorship-myanmar/,
2/18/2021,Ended,2/19/2021,India,"It affected more than one city in the same state, province, or region",Shopian district in Jammu and Kashmir,Shutdown,Mobile,Full network,Local government,"Inspector General of the Kashmir Police, later confirmed by the Principal Secretary to the Government of J&K",Political instability,Security forces operation which resulted in an encounter and death of armed militants ,Other,http://jkhome.nic.in/pdf/08(TSTS)2021.pdf,National security/ Counter-terrorism,Security of the state and maintaining public order.,Yes,Yes,"Yes. The IGP justified the shutdown in national security and maintenance of the public order, considering the encounter among security forces and armed militants, which resulted in the death among the latter. Order -  08(TSTS) of 2021.",http://jkhome.nic.in/pdf/08(TSTS)2021.pdf,,No,No,No,No,No,,No,No,,,,,No,Yes,Unknown,,,No,"A mobile internet shutdown occurred in Shopian district during and after a security forces operation resulting in the killing of three alleged armed militants, in Badigam, Shopian.",,
2/22/2021,Ended,,Gabon,Not sure,,Shutdown,Unknown,Full network,Unknown,,Protests,,Confidential,https://www.defenceweb.co.za/security/civil-security/two-killed-as-gabon-citizens-protest-coronavirus-restrictions/,Unknown,,No,,,,,No,No,No,No,No,,No,No,,No,,,No,Yes,Yes,,,No,There was a shutdown during protests against government covid-measures.,,
2/24/2021,Ended,2/24/2021,India,"It only affected one city, county, or village",District Anantnag,Shutdown,Mobile,Full network,Local government,"Inspector General of the Kashmir Police, later confirmed by the Principal Secretary to the Government of J&K",Political instability,Security forces operation which resulted in an encounter and death of alleged armed militants ,Other,http://jkhome.nic.in/pdf/09(TSTS)2021.pdf,National security/ Counter-terrorism,Security of the state and maintaining public order.,Yes,Yes,"Yes. The IGP justified the shutdown in national security and maintenance of the public order, considering the encounter among security forces and armed militants, which resulted in the death among the latter. Order -  09(TSTS) of 2021.",http://jkhome.nic.in/pdf/09(TSTS)2021.pdf,,No,No,No,No,No,,No,No,,,,,No,Yes,No,,,No,"A mobile internet shutdown occurred in Anantnag district during and after a security forces operation resulting in the killing of three alleged armed militants, in Anantnag.",,
2/24/2021,Ended,2/28/2021,Iran (Islamic Republic of),"It affected more than one city in the same state, province, or region",Sistan and Baluchistan,Shutdown,"Broadband, Mobile",Full network,Unknown,,Protests,,CSO KIO partners,https://twitter.com/maasalan/status/1365751866274033665?s=21; https://twitter.com/Ammir/status/1364660934036361217; https://www.accessnow.org/iran-blackout-2021-internet-shutdowns-sistan-baluchistan/;,Unknown,,No,,,,,No,No,No,No,No,,No,No,,No,,,No,No,No,,,No,Broadband and mobile services were shutdown in Sistan-Baluchistan after protests.,,
2/24/2021,Ended,3/5/2021,Niger,"It affected locations in more than one state, province, or region",,Shutdown,Mobile,Full network,Unknown,,Elections,Mobile internet was shutdown after release of results of the run-off election,News media article,https://www.accessnow.org/niger-election-internet-blackout/; https://twitter.com/DougMadory/status/1364589910888509442; https://ioda.caida.org/@jBP; https://www.fastly.com/blog/impact-of-mobile-internet-disruption-in-niger,Unknown,,No,,,,,No,No,No,No,No,,No,No,,Unknown,,,Yes,Unknown,Unknown,,,No,Mobile internet access was shutdown after results of the run-off election in Niger and restored after 10 days.,https://www.accessnow.org/niger-election-internet-blackout/,
2/27/2021,Ended,3/3/2021,Chad,"It affected locations in more than one state, province, or region",Ndjamena and some provinces,Shutdown,"Broadband, Mobile",Full network,Unknown,,Protests,,CSO KIO partners,https://www.aljazeera.com/news/2021/3/1/chad-opposition-leader-quits-presidential-race-after-shootout; https://www.facebook.com/1743317875927798/posts/2809730249286550/?_rdc=1&_rdr,Unknown,,No,,,,,No,No,No,No,No,,Unknown,Unknown,"Chad: Airtel (Bharti Airtel), Moov Africa Tchad",No,,,Yes,Yes,Yes,,,No,Mobile and fixed internet were shutdown on Feb 27 during unrests and a clamp down on opposition. Mobile phone services were slow.,,
3/4/2021,Ended,3/5/2021,Senegal,"It affected locations in more than one state, province, or region",nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Protests,Senegal restricts internet as protests over rape allegation against opposition leader escalate,CSO KIO partners,https://www.bloomberg.com/news/articles/2021-03-05/senegal-shuts-down-tv-stations-internet-disrupted-amid-protests; https://www.cnn.com/2021/03/05/africa/senegal-protests-rape-charge-intl/index.html; https://www.fastcompany.com/90615398/free-senegal-internet-shutdown-democracy; https://www.fastcompany.com/90615398/free-senegal-internet-shutdown-democracy,Unknown,,No,,,,,Yes,Unknown,Yes,Unknown,Yes,Youtube,No,No,,No,,,No,Yes,Yes,,,No,Service-based shutdowns occurred in Senegal amid protests against legal accusations of rape against opposition leader.,,
3/5/2021,Ended,3/5/2021,Chad,"It only affected one city, county, or village",the capital city of N'djamena,Shutdown,"Broadband, Mobile",Full network,Unknown,,Protests,,CSO KIO partners,https://twitter.com/adelph36/status/1367814641657786374?s=20; https://twitter.com/adelph36/status/1368158711911481346?s=20; https://www.alwihdainfo.com/Tchad-coupure-de-l-acces-a-Internet_a101097.html; https://tchadinfos.com/politique/tchad-ndjamena-a-nouveau-deconnectee-dinternet/; ,Unknown,,No,,,,,No,No,No,No,No,,No,No,,No,,,No,Unknown,Unknown,,,No,Mobile and broadband internet were shutdown tat the capital city of N'djamena  from period of March 5-6 2021-,,
3/8/2021,Ended,,India,"It only affected one city, county, or village","Bhainsa, in Andhra Pradesh",Shutdown,Mobile,Full network,Unknown,,Communal violence,,CSO KIO partners,https://www.thehindu.com/news/national/telangana/post-clashes-internet-services-suspended-in-bhainsa/article34020478.ece,Unknown,,Unknown,,,,,No,No,No,No,No,,Unknown,Unknown,,Unknown,,,No,Yes,Yes,,,No,"Prohibitory orders were clamped and internet services suspended by the authorities at Bhainsa town in Nirmal district, following communal clashes between two groups. ",,
3/10/2021,Ended,3/11/2021,India,"It only affected one city, county, or village",Anantnag,Shutdown,Mobile,Full network,Local government,"Inspector General of the Kashmir Police, later confirmed by the Principal Secretary to the Government of J&K",Political instability,Security forces operation which resulted in an encounter and death of alleged armed militants ,Other,https://thekashmirwalla.com/2021/03/internet-snapped-in-anantnag-amid-gunfight/,National security/ Counter-terrorism,Security of the state and maintaining public order.,Yes,Yes,"Yes. The IGP justified the shutdown in national security and maintenance of the public order, considering the encounter among security forces and armed militants, which resulted in the death among the latter. Order -  10(TSTS) of 2021.",http://jkhome.nic.in/pdf/10(TSTS)2021.pdf,,No,No,No,No,No,,No,No,,No,,,No,Yes,Unknown,,,No,Mobile internet services were snapped in Anantnag district of south Kashmir amid an intermittent gunfight between militants and government forces in Bijbehera area.,,
3/10/2021,Ongoing,,Russian Federation,"It affected locations in more than one state, province, or region",National,Throttle,"Broadband, Mobile",Full network,Executive government,Roskomnadzor,Other,Pressure Twitter to comply with Government take down orders.,News media article,https://rkn.gov.ru/news/rsoc/news73464.htm; https://www.accessnow.org/russia-throttled-twitter/; https://censoredplanet.org/throttling,Illegal content,"Roskomnadzor announced that it would slow down Twitter on “100 percent of mobile services and 50 percent desktop services"" claiming that the social media company did not delete over 3,000 materials the authorities deemed unlawful.",Yes,Yes,,https://rkn.gov.ru/news/rsoc/news73464.htm,,No,Yes,No,No,No,,No,No,,Unknown,,,No,No,No,,,Yes,"Roskomnadzor announced that it would slow down Twitter on “100 percent of mobile services and 50 percent desktop services"" claiming that the social media company did not delete over 3,000 materials the authorities deemed unlawful. On May 17, Russia announced that it would not block Twitter entirely because the company complied with deleting more than 91% of flagged content.",https://www.accessnow.org/russia-throttled-twitter/,"Since May 17, 2021, the Twitter ban was partially halted, with the mobile version of the service is still slowed down. https://www.reuters.com/technology/russia-partially-lifts-restrictions-twitter-after-some-banned-content-deleted-2021-05-17/"
